2025-06-30 14:27:01,554 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: What are heat exchanger types?... (stream: False)
2025-06-30 14:27:01,738 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:01,738 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:01,738 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,739 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,740 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: What are heat exchanger types?... (stream: False)
2025-06-30 14:27:01,741 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:01,741 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:01,741 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,741 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,742 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:01,743 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:01,743 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:01,743 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,743 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:01,744 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:01,744 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:01,776 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:01,872 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:02,325 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Principles of mass transfer... (stream: False)
2025-06-30 14:27:02,507 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:02,508 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:02,508 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,508 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,509 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: How to design cooling towers?... (stream: False)
2025-06-30 14:27:02,510 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:02,510 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:02,510 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,511 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,511 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:02,512 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:02,512 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:02,512 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,513 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:02,513 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:02,513 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:02,548 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:02,644 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:03,097 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:03,279 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:03,279 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:03,279 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,280 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,281 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: What is distillation and how does it work?... (stream: False)
2025-06-30 14:27:03,281 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:03,281 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:03,282 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,282 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,283 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:03,283 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:03,284 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:03,284 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,284 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:03,284 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:03,285 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:03,323 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:03,418 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:03,875 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:04,061 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,062 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,062 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,062 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,064 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Explain vapor-liquid equilibrium... (stream: False)
2025-06-30 14:27:04,064 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,064 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,065 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,065 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,066 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Chemical reactor applications... (stream: False)
2025-06-30 14:27:04,066 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,066 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,067 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,067 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:04,067 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,068 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:04,107 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:04,209 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:04,694 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: What are heat exchanger types?... (stream: False)
2025-06-30 14:27:04,877 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,878 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,878 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,878 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,879 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:04,880 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,880 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,880 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,881 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,882 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Difference between absorption and adsorption?... (stream: False)
2025-06-30 14:27:04,882 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:04,882 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:04,883 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,883 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:04,883 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:04,883 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:04,924 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:05,019 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:05,472 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: How to calculate theoretical plates?... (stream: False)
2025-06-30 14:27:05,656 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:05,657 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:05,657 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,657 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,658 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Explain vapor-liquid equilibrium... (stream: False)
2025-06-30 14:27:05,659 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:05,659 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:05,659 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,660 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,660 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: Explain vapor-liquid equilibrium... (stream: False)
2025-06-30 14:27:05,661 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:05,661 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:05,661 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,662 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 5 failures
2025-06-30 14:27:05,662 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:05,662 | src.pynucleus.api.app | WARNING | app.py:443 | Circuit breaker opened after 6 failures
2025-06-30 14:27:05,699 | src.pynucleus.api.app | INFO | app.py:159 | Cleaning up application resources...
2025-06-30 14:27:05,799 | src.pynucleus.api.app | INFO | app.py:163 | Resource cleanup completed
2025-06-30 14:27:06,250 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: How to calculate theoretical plates?... (stream: False)
2025-06-30 14:27:06,435 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
2025-06-30 14:27:06,435 | src.pynucleus.api.app | ERROR | app.py:76 | Failed to initialize RAG engine: [Errno 32] Broken pipe
2025-06-30 14:27:06,435 | src.pynucleus.api.app | ERROR | app.py:570 | Error in regular ask handling: 'NoneType' object is not subscriptable
2025-06-30 14:27:06,436 | src.pynucleus.api.app | ERROR | app.py:472 | Ask endpoint error: 'NoneType' object is not subscriptable
2025-06-30 14:27:06,437 | src.pynucleus.api.app | INFO | app.py:464 | Processing question: How to calculate theoretical plates?... (stream: False)
2025-06-30 14:27:06,437 | pynucleus | INFO | model_loader.py:32 | ModelLoader singleton initialized
