2025-06-19 16:39:47,470 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 3.8s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179ae9f90>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:51,255 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (22): us.i.posthog.com:443
2025-06-19 16:39:51,256 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:51,256 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aea5d0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:51,256 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (23): us.i.posthog.com:443
2025-06-19 16:39:51,257 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:51,257 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aea850>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:51,257 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (24): us.i.posthog.com:443
2025-06-19 16:39:51,258 | backoff | ERROR | _common.py:120 | Giving up send_request(...) after 4 tries (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x179aeaad0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:41:46,033 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (25): us.i.posthog.com:443
2025-06-19 16:41:46,041 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:41:46,041 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x15045e710>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:41:46,041 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (26): us.i.posthog.com:443
